,live_tree_density,LAI_sum,LAI_win,RWC,aspect_mean,aspect_std,canopy_height,cwd,dominant_leaf_habit,elevation_mean,elevation_std,forest_cover,ppt_sum,ppt_win,tmax_sum,tmax_win,tmean_sum,tmean_win,vpdmax_sum,vpdmax_win,EVP_sum,PEVAP_sum,EVP_win,PEVAP_win,vsm_sum,vsm_win
27,0.0,0.408520475561,0.579876706297,0.929693417196,185.213930624,106.488843919,7.68,917.6024,deciduous,370.155555556,172.298856068,0.8,68.0,83.9722222222,31.4722222222,22.8981481481,24.287037037,15.5833333333,31.1464371981,21.1641975309,72.8285,744.6875,60.54875,453.57075,0.107310344828,0.0875894736842
28,5.57507722903,0.840331125828,0.778752759382,0.417551963048,193.357804275,101.767914644,17.32,922.364277778,evergreen,1052.64444444,307.656450214,1.0,9.72222222222,147.027777778,32.2222222222,16.3796296296,23.462962963,9.62037037037,38.1349637681,14.5262345679,72.3445,902.1235,88.977,425.23625,0.0786914893617,0.0959268292683
29,5.56056625062,1.02777041943,0.769701986755,0.0,193.357804275,101.767914644,17.32,768.626222222,evergreen,1052.64444444,307.656450214,1.0,2.11111111111,412.027777778,30.5185185185,15.1666666667,21.5925925926,8.94444444444,33.0495169082,11.6077160494,121.8905,857.488,81.09175,370.999,0.0951333333333,0.1026
30,4.87709428481,1.07509933775,0.872991169978,0.0,193.357804275,101.767914644,17.32,620.456,evergreen,1052.64444444,307.656450214,1.0,26.75,266.305555556,31.1111111111,14.9259259259,22.2314814815,8.48148148148,35.145531401,12.1320987654,138.0065,855.871,77.9185,390.7015,0.103314285714,0.1174
31,5.45390586967,0.976203090508,0.904116997792,0.978893740902,193.357804275,101.767914644,17.32,821.987944444,evergreen,1052.64444444,307.656450214,1.0,29.5555555556,188.861111111,31.9722222222,16.6481481481,23.3148148148,9.46296296296,36.8399758454,14.6611721612,79.37175,857.565,88.5905,435.98325,0.129547368421,0.226014285714
32,5.56056625062,0.843609271523,0.762273730684,0.628820960699,193.357804275,101.767914644,17.32,956.017,evergreen,1052.64444444,307.656450214,1.0,59.8611111111,145.555555556,30.8888888889,15.8148148148,22.5925925926,8.91666666667,34.5839371981,14.1675925926,52.25125,803.33025,76.10025,428.5235,0.083085106383,0.1061275
33,4.94977077539,0.737969094923,0.732086092715,0.630276564774,193.357804275,101.767914644,17.32,1052.6337,evergreen,1052.64444444,307.656450214,1.0,33.4722222222,118.666666667,30.25,19.2222222222,22.3425925926,11.9814814815,32.0102657005,18.3490740741,45.1275,785.36425,62.93525,475.04275,0.0888434782609,0.103086666667
34,5.33500008308,0.811655629139,0.781357615894,0.733624454148,193.357804275,101.767914644,17.32,917.6024,evergreen,1052.64444444,307.656450214,1.0,86.6666666667,118.444444444,29.8148148148,18.7222222222,22.0555555556,12.0277777778,30.8336352657,17.1836419753,99.025,814.1015,98.2455,433.84725,0.0912547169811,0.0934645833333
35,4.12366515685,0.543554083885,0.499105960265,0.351713395639,162.26242043,99.7995857887,9.96,970.930555556,evergreen,1071.73222222,435.538854582,0.96,3.13888888889,98.0,34.8148148148,16.3981481481,25.7407407407,9.76851851852,45.4876207729,14.3324074074,48.87925,1010.09475,50.2975,463.297,0.0909160714286,0.106235897436
36,3.92464751717,0.643366445916,0.478796909492,0.822118380062,162.26242043,99.7995857887,9.96,826.534227273,evergreen,1071.73222222,435.538854582,0.96,5.0,280.805555556,33.5277777778,15.2037037037,24.1481481481,9.25,41.3490338164,11.7080246914,89.4395,959.14575,47.1305,389.743,0.0973966101695,0.114666666667
37,3.73355119252,0.65701986755,0.559028697572,0.903115264798,162.26242043,99.7995857887,9.96,619.812416667,evergreen,1071.73222222,435.538854582,0.96,34.8611111111,173.805555556,33.9259259259,15.1851851852,24.9259259259,8.99074074074,42.4731280193,12.5938271605,107.43425,950.482,47.70175,421.28725,0.0984315789474,0.114996
38,3.79055447388,0.596644591611,0.542317880795,0.929283489097,162.26242043,99.7995857887,9.96,862.091615385,evergreen,1071.73222222,435.538854582,0.96,38.6944444444,114.138888889,33.8518518519,16.7685185185,25.1944444444,10.0925925926,41.7995169082,14.5500610501,100.79875,932.6515,50.988,454.1575,0.110928888889,0.156079411765
39,3.47797957537,0.518708609272,0.461225165563,0.485669781931,162.26242043,99.7995857887,9.96,930.157375,evergreen,1071.73222222,435.538854582,0.96,118.25,97.0555555556,32.4907407407,16.037037037,24.2407407407,9.67592592593,38.8285024155,14.2308641975,97.3515,878.88475,49.97275,453.07575,0.0897959183673,0.120444230769
40,3.36873429294,0.45710816777,0.421291390728,0.442056074766,162.26242043,99.7995857887,9.96,1074.4095,evergreen,1071.73222222,435.538854582,0.96,37.4166666667,69.9444444444,32.712962963,19.2592592593,24.5,12.6018518519,38.3734903382,18.012345679,86.52975,867.0155,52.76425,513.5935,0.0976907407407,0.114047272727
