,FAM,RWC,CWD,elevation_std,elevation_mean,ppt_sum,location,aspect_mean,aspect_std,vsm_sum,canopy_height,EVP_win,twi_mean
150,0.0313541657912,0.577936257413,792.419938776,477.420441845,1786.36444444,2.19444444444,83,189.76432886,100.318948098,0.138154716981,29.36,62.12,289.6704
151,0.0504166663935,0.441837624932,936.276244898,477.420441845,1786.36444444,19.5833333333,83,189.76432886,100.318948098,0.152911666667,29.36,90.73675,289.6704
152,0.0519791656795,0.265348430553,1001.06888889,477.420441845,1786.36444444,6.08333333333,83,189.76432886,100.318948098,0.151876271186,29.36,76.056,289.6704
153,0.412187507997,0.00632200099267,997.311448276,477.420441845,1786.36444444,35.0277777778,83,189.76432886,100.318948098,0.147636206897,29.36,117.671,289.6704
154,0.0140130161552,0.735548682386,797.609795455,390.495266425,2175.37,3.36111111111,84,189.191119972,100.021911239,0.156847619048,17.0,66.6555,344.650641026
155,0.0459914410698,0.934541753066,669.295386364,390.495266425,2175.37,0.611111111111,84,189.191119972,100.021911239,0.161650793651,17.0,64.86575,344.650641026
156,0.0188037907089,0.939778412821,658.254613636,390.495266425,2175.37,42.8055555556,84,189.191119972,100.021911239,0.162288135593,17.0,62.8785,344.650641026
157,0.0186840215403,0.534163512012,816.9955,390.495266425,2175.37,8.44444444444,84,189.191119972,100.021911239,0.154910526316,17.0,60.181,344.650641026
158,0.0280260323104,0.453764451834,950.987227273,390.495266425,2175.37,45.8888888889,84,189.191119972,100.021911239,0.16964,17.0,82.91225,344.650641026
159,0.031379575725,0.402779681965,1023.67517647,390.495266425,2175.37,15.2222222222,84,189.191119972,100.021911239,0.169201754386,17.0,66.56,344.650641026
160,0.237861966017,0.00862819182398,1049.2786,390.495266425,2175.37,33.6111111111,84,189.191119972,100.021911239,0.166630357143,17.0,101.72925,344.650641026
168,0.000113988169708,0.0976483486618,832.4305,299.497140387,735.563333333,6.66666666667,87,178.569651684,105.10963724,0.324953623188,24.8,73.8335,333.879227053
169,0.00341964520734,0.0339534763101,586.536115385,299.497140387,735.563333333,0.277777777778,87,178.569651684,105.10963724,0.320365714286,24.8,67.801,333.879227053
170,0.00649732594703,0.15440869862,652.308193548,299.497140387,735.563333333,0.0,87,178.569651684,105.10963724,0.328053846154,24.8,65.79375,333.879227053
171,0.0763720775358,0.53774090995,879.731357143,299.497140387,735.563333333,0.0,87,178.569651684,105.10963724,0.341234782609,24.8,65.609,333.879227053
172,0.00524345605536,0.737786454912,957.159333333,299.497140387,735.563333333,4.36111111111,87,178.569651684,105.10963724,0.346919607843,24.8,72.63025,333.879227053
173,0.00433155063135,0.621606157646,1075.78565517,299.497140387,735.563333333,4.86111111111,87,178.569651684,105.10963724,0.3340125,24.8,61.39275,333.879227053
174,0.041719672485,0.919366257262,978.43862963,299.497140387,735.563333333,6.0,87,178.569651684,105.10963724,0.343085365854,24.8,92.67875,333.879227053
175,0.0479344602597,0.673408607333,718.636425,519.21913555,2559.05111111,6.63888888889,91,190.511598076,101.662597234,0.15443015873,21.36,52.5115,280.445337621
176,0.148425165166,0.851824573744,513.125530612,519.21913555,2559.05111111,2.25,91,190.511598076,101.662597234,0.157749206349,21.36,44.59875,280.445337621
177,0.0619318517534,0.923319780501,456.085183673,519.21913555,2559.05111111,39.0833333333,91,190.511598076,101.662597234,0.160581355932,21.36,48.7415,280.445337621
178,0.0359178331519,0.559570345365,719.459387755,519.21913555,2559.05111111,5.0,91,190.511598076,101.662597234,0.154194545455,21.36,44.38,280.445337621
179,0.0812112783298,0.421607311939,812.06312766,519.21913555,2559.05111111,23.0555555556,91,190.511598076,101.662597234,0.162790322581,21.36,54.8535,280.445337621
180,0.156876415395,0.349249077624,821.91497619,519.21913555,2559.05111111,23.4444444444,91,190.511598076,101.662597234,0.163394736842,21.36,48.56525,280.445337621
181,0.285758047803,0.0038591058301,833.06262069,519.21913555,2559.05111111,71.3888888889,91,190.511598076,101.662597234,0.165163157895,21.36,76.804,280.445337621
182,0.0143139363854,0.466237973797,759.783846154,618.011617231,1617.03111111,3.86111111111,97,199.214974815,95.1376070945,0.1535234375,28.0,67.48425,313.620967742
183,0.0284173740667,0.74358291699,607.448333333,618.011617231,1617.03111111,2.80555555556,97,199.214974815,95.1376070945,0.147826984127,28.0,63.789,313.620967742
184,0.0225234005492,0.724280521676,588.418488372,618.011617231,1617.03111111,25.3611111111,97,199.214974815,95.1376070945,0.150288888889,28.0,56.742,313.620967742
185,0.0138929379969,0.897805715981,795.245697674,618.011617231,1617.03111111,1.30555555556,97,199.214974815,95.1376070945,0.152070909091,28.0,59.686,313.620967742
186,0.0115774483308,0.584334567689,922.325511628,618.011617231,1617.03111111,13.5555555556,97,199.214974815,95.1376070945,0.15986984127,28.0,65.943,313.620967742
187,0.0343113475841,0.4078168337,957.829515152,618.011617231,1617.03111111,22.1388888889,97,199.214974815,95.1376070945,0.164150877193,28.0,55.79725,313.620967742
188,0.283647472342,0.133910005095,961.257,618.011617231,1617.03111111,50.2777777778,97,199.214974815,95.1376070945,0.159201639344,28.0,99.81425,313.620967742
189,0.00495557076997,0.410173683564,801.221916667,513.007107898,1067.95888889,2.02777777778,104,190.080278214,99.9688761818,0.161317142857,21.04,78.62,341.021035599
190,0.0227720292734,0.886788374046,622.583033333,513.007107898,1067.95888889,0.222222222222,104,190.080278214,99.9688761818,0.170010144928,21.04,74.128,341.021035599
191,0.0348069866221,0.773368255226,588.876270833,513.007107898,1067.95888889,12.6388888889,104,190.080278214,99.9688761818,0.167694117647,21.04,65.787,341.021035599
193,0.00365768342283,0.599604904537,977.468553191,513.007107898,1067.95888889,8.72222222222,104,190.080278214,99.9688761818,0.164559677419,21.04,73.08875,341.021035599
194,0.0254857941011,0.482182277398,1070.55958333,513.007107898,1067.95888889,23.6944444444,104,190.080278214,99.9688761818,0.16907704918,21.04,55.73675,341.021035599
195,0.279399809649,0.0299802452268,1041.97386047,513.007107898,1067.95888889,24.6388888889,104,190.080278214,99.9688761818,0.155346774194,21.04,99.854,341.021035599
196,0.0144831625417,0.622659449211,700.046375,548.847455224,2013.70222222,5.08333333333,105,187.962883078,102.509752309,0.1671421875,28.96,60.773,305.188006483
197,0.0411237233271,0.912895541306,560.655696429,548.847455224,2013.70222222,1.52777777778,105,187.962883078,102.509752309,0.176036507937,28.96,59.101,305.188006483
198,0.0492638949243,0.727924683076,468.320196429,548.847455224,2013.70222222,38.8333333333,105,187.962883078,102.509752309,0.172717741935,28.96,51.7245,305.188006483
199,0.0380579436978,0.779298222108,759.1965,548.847455224,2013.70222222,3.11111111111,105,187.962883078,102.509752309,0.171701818182,28.96,55.75475,305.188006483
200,0.0318206700731,0.417607127426,844.601517857,548.847455224,2013.70222222,22.0833333333,105,187.962883078,102.509752309,0.179511111111,28.96,66.129,305.188006483
201,0.0963077448395,0.46999692387,882.005575,548.847455224,2013.70222222,27.3055555556,105,187.962883078,102.509752309,0.180701754386,28.96,55.27125,305.188006483
202,0.219044624686,0.107298333102,909.4636,548.847455224,2013.70222222,48.3333333333,105,187.962883078,102.509752309,0.175813559322,28.96,97.333,305.188006483
205,0.00140695028449,0.103921335742,529.178903226,179.782736596,379.381880734,0.777777777778,110,179.300893574,102.553373368,0.3715,31.36,130.34175,2518.41491086
206,0.017586879258,0.736900492028,698.1686875,179.782736596,379.381880734,0.0277777777778,110,179.300893574,102.553373368,0.391633333333,31.36,131.70125,2518.41491086
207,0.00623078023242,0.771797130947,897.656875,179.782736596,379.381880734,14.9722222222,110,179.300893574,102.553373368,0.39975,31.36,156.61275,2518.41491086
209,0.036781702768,0.813038613306,901.128,179.782736596,379.381880734,0.888888888889,110,179.300893574,102.553373368,0.387475,31.36,165.73525,2518.41491086
210,0.00190509065154,0.076230344174,756.82028,223.033777575,356.852222222,5.0,111,168.202341965,107.648295556,0.171304761905,25.8,138.0845,377.576985413
211,0.000112064151656,0.0308701393762,587.989,223.033777575,356.852222222,0.833333333333,111,168.202341965,107.648295556,0.1696046875,25.8,129.66825,377.576985413
212,0.00056032079905,0.120960546127,590.629870968,223.033777575,356.852222222,1.02777777778,111,168.202341965,107.648295556,0.178225423729,25.8,125.96625,377.576985413
213,0.00661178536356,0.854676455906,764.0325,223.033777575,356.852222222,0.25,111,168.202341965,107.648295556,0.204476595745,25.8,117.8705,377.576985413
214,0.0014568340123,0.876380621582,938.806866667,223.033777575,356.852222222,9.0,111,168.202341965,107.648295556,0.200838709677,25.8,141.0195,377.576985413
215,0.0151286612482,0.792394937008,1020.9875,223.033777575,356.852222222,22.9722222222,111,168.202341965,107.648295556,0.19050877193,25.8,103.15025,377.576985413
216,0.0166975588332,0.937718481102,894.097666667,223.033777575,356.852222222,0.777777777778,111,168.202341965,107.648295556,0.200138181818,25.8,160.839,377.576985413
217,0.000264965580901,0.0780917003825,995.617071429,134.537751809,451.002222222,3.88888888889,113,177.321380388,100.202456654,0.0924,16.68,85.05225,388.646677472
218,0.00013248279045,0.307102192515,720.341461538,134.537751809,451.002222222,0.0,113,177.321380388,100.202456654,0.0975534482759,16.68,99.20875,388.646677472
219,0.00013248279045,0.498821704129,729.218,134.537751809,451.002222222,0.0,113,177.321380388,100.202456654,0.104218333333,16.68,95.27225,388.646677472
220,0.00013248279045,0.91851469193,1041.8127,134.537751809,451.002222222,0.0,113,177.321380388,100.202456654,0.15143,16.68,71.6065,388.646677472
